rank,position,player,team,Experience,votes,OPOY,DPOY,share,games,starts,pass_cmp,pass_att,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,rec,rec_yds,rec_td,def_tackles,def_sacks,def_int,def_td,total_td
1,QB,Aaron Rodgers,Green Bay Packers,6,48,No,No,0.96,15,15,343,502,4643,45,6,60,257,3,0,0,0,0,0,0,0,48
2,QB,Drew Brees,New Orleans Saints,10,2,Yes,No,0.04,16,16,468,657,5476,46,14,21,86,1,0,0,0,0,0,0,0,47
,LOLB,Terrell Suggs,Baltimore Ravens,8,0,No,Yes,0,16,16,0,0,0,0,0,0,0,0,0,0,0,60,2,0,0,0
,DE,Jared Allen,Minnesota Vikings,7,0,No,No,0,16,16,0,0,0,0,0,0,0,0,0,0,0,57,1,0,0,0
,DE,Justin Smith,San Francisco 49ers,8,0,No,No,0,16,16,0,0,0,0,0,0,0,0,0,0,0,51.5,0,0,0,0
,DE,Jason Pierre-Paul,New York Giants,1,0,No,No,0,16,12,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0
,MLB,Patrick Willis,San Francisco 49ers,4,0,No,No,0,13,13,0,0,0,0,0,0,0,0,0,0,0,85.5,1,0,0,0
,MLB,NaVorro Bowman,San Francisco 49ers,1,0,No,No,0,16,16,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0,0
,CB,Charles Woodson,Green Bay Packers,13,0,No,No,0,15,15,0,0,0,0,0,0,0,0,0,0,0,69,7,1,0,0
1,RB,Adrian Peterson,Minnesota Vikings,5,30.5,Yes,No,0.61,16,16,0,0,0,0,0,348,2097,12,40,217,1,0,0,0,0,13
2,QB,Peyton Manning,Denver Broncos,14,19.5,No,No,0.39,16,16,400,583,4659,37,11,23,6,0,0,0,0,0,0,0,0,37
,QB,Tom Brady,New England Patriots,12,0,No,No,0,16,16,401,637,4827,34,8,23,32,4,0,0,0,0,0,0,0,0
,WR,Calvin Johnson,Detroit Lions,5,0,No,No,0,16,16,0,0,0,0,0,0,0,0,122,1964,5,0,0,0,0,0
,QB,Aaron Rodgers,Green Bay Packers,7,0,No,No,0,16,16,371,552,4295,39,8,54,259,2,1,-1,0,0,0,0,0,0
,DE,J.J. Watt,Houston Texans,1,0,No,Yes,0,16,16,0,0,0,0,0,0,0,0,0,0,0,75,20.5,0,0,0
,ILB,Von Miller,Denver Broncos,1,0,No,No,0,16,16,0,0,0,0,0,0,0,0,0,0,0,61.5,18.5,1,1,0
1,QB,Peyton Manning,Denver Broncos,15,49,Yes,No,0.98,16,16,450,659,5477,55,10,32,-31,1,0,0,0,0,0,0,0,56
2,QB,Tom Brady,New England Patriots,13,1,No,No,0.02,16,16,380,628,4343,25,11,32,18,0,0,0,0,0,0,0,0,25
,RB,LeSean McCoy,Philadelphia Eagles,4,0,No,No,0,16,16,0,0,0,0,0,314,1607,9,52,539,2,0,0,0,0,11
,RB,Jamaal Charles,Kansas City Chiefs,5,0,No,No,0,15,15,0,0,0,0,0,259,1287,12,70,693,7,0,0,0,0,19
,QB,Drew Brees,New Orleans Saints,12,0,No,No,0,16,16,446,650,5162,39,12,35,52,3,0,0,0,0,0,0,0,42
,QB,Russell Wilson,Seattle Seahawks,1,0,No,No,0,16,16,257,407,3357,26,9,96,539,1,0,0,0,0,0,0,0,27
,MLB,Luke Kuechly,Carolina Panthers,1,0,No,Yes,0,16,16,0,0,0,0,0,0,0,0,0,0,0,124.5,2,4,0,0
,ROLB,Robert Mathis,Indianapolis Colts,10,0,No,No,0,16,16,0,0,0,0,0,0,0,0,0,0,0,51.5,19.5,0,0,0
